,Case Number,Date,Year,Type,Country,Area,Location,Activity,Name,Sex ,Age,Injury,Fatal,Time,Species ,Investigator or Source,pdf,href formula,href,Case Number.1,Case Number.2,original order,Unnamed: 22,Unnamed: 23
10,2018.05.24,24-May-2018,2018,Provoked,australia,Queensland,Cairns Aquarium,feeding sharks,male,M,32.0,minor bite to hand by captive shark. provoked incident,False,Unknown,Grey reef shark,"ABC.net.au ,05/24/2018",2018.05.24-CairnsAquarium.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.05.24-CairnsAquarium.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.05.24-CairnsAquarium.pdf,2018.05.24,2018.05.24,6293.0,unknown,unknown
11,2018.05.21,21-May-2018,2018,Unprovoked,usa,South Carolina,"Isle of Palms,  Charleston County",boogie boarding,Trey de Boer,M,10.0,injuries to lower right leg and foot,False,Unknown,Unknown,"C. Creswell, GSAF",2018.05.21-deBoer.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.05.21-deBoer.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.05.21-deBoer.pdf,2018.05.21,2018.05.21,6292.0,unknown,unknown
12,2018.05.13.b,13-May-2018,2018,Unprovoked,usa,South Carolina,"Hilton Head Island, Beaufort County",swimming,Jei Turrell,M,10.0,severe bite to right forearm,False,Unknown,Unknown,"C. Creswell, GSAF & K. McMurray TrackingSharks.com",2018.05.13.b-Turrell.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.05.13.b-Turrell.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.05.13.b-Turrell.pdf,2018.05.13.b,2018.05.13.b,6291.0,unknown,unknown
13,2018.05.13.a,13-May-2018,2018,Invalid,england,Cornwall,Off Land's End,fishing,Max Berryman,M,21.0,injured by teeth of a dead porbeagle shark he was tossing overboard.,False,Unknown,Invalid incident,"K. McMurray, TrackingSharks.com",2018.05.13.a-Berryman.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.05.13.a-Berryman.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.05.13.a-Berryman.pdf,2018.05.13.a,2018.05.13.a,6290.0,unknown,unknown
14,2018.05.00,May 2018,2018,Provoked,australia,Westerm Australia,Dugong Bay,feeding sharks,Melisa Brunning,F,34.0,shallow lacerations to finger provoked incident,False,Unknown,Unknown,"Perth Now, 6/30/2018",2018.05.00-Brunning.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.05.00-Brunning.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.05.00-Brunning.pdf,2018.05.00,2018.05.00,6289.0,unknown,unknown
15,2018.05.12,12-May-2018,2018,Unprovoked,south africa,Eastern Cape Province,"Nahoon Beach, East London",surfing,male,M,25.0,"minor injury, marks on board",False,Unknown,Unknown,"B.Jacob, Dispatch Live, 5/12/2018",2018.05.12-EastLondon.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.05.12-EastLondon.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.05.12-EastLondon.pdf,2018.05.12,2018.05.12,6288.0,unknown,unknown
16,2018.05.09,09-May-2018,2018,Questionable,australia,New South Wales,"Sharpes Beach, Ballina",surfing,male,M,25.0,"no injury, surfboard damaged",False,Unknown,Shark involvement not confirmed,"B. Myatt, GSAF",2018.05.09-SharpesBeach.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.05.09-SharpesBeach.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.05.09-SharpesBeach.pdf,2018.05.09,2018.05.09,6287.0,unknown,unknown
17,2018.04.30.R,Reported 30-Apr-2018,2018,Unprovoked,thailand,Hua Hin,Sai Noi Beach,swimming,female,M,25.0,minor injury to ankle,False,Unknown,Unknown,"K. McMurray, TrackingSharks.com",2018.04.30.R-Thailand.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.30.R-Thailand.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.30.R-Thailand.pdf,2018.04.30.R,2018.04.30.R,6286.0,unknown,unknown
18,2018.04.28.b,28-Apr-2018,2018,Unprovoked,costa rica,Cocos Island,Manuelita,scuba diving,male,M,30.0,"no injury, shark bit scuba gear",False,Unknown,Tiger shark,Costa Rica Star. 4/28/2018,2018.04.28.b-CostaRica.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.28.b-CostaRica.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.28.b-CostaRica.pdf,2018.04.28.b,2018.04.28.b,6285.0,unknown,unknown
19,2018.04.28.a,28-Apr-2018,2018,Unprovoked,australia,Western Australia,Gearys Beach,surfing,Adam Murray,M,25.0,"no injury, knocked off board by shark",False,Unknown,Unknown,"B. Myatt, GSAF",2018.04.28.a-Murray.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.28.a-Murray.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.28.a-Murray.pdf,2018.04.28.a,2018.04.28.a,6284.0,unknown,unknown
20,2018.04.25.b,25-Apr-2018,2018,Questionable,australia,New South Wales,Lennox Head,surfing,Matthew Lee,M,25.0,no injury,False,Unknown,Questionable,"B. Myatt, GSAF",2018.04.25.b-Lee.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.25.b-Lee.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.25.b-Lee.pdf,2018.04.25.b,2018.04.25.b,6283.0,unknown,unknown
21,2018.04.25.a,25-Apr-2018,2018,Unprovoked,australia,Western Australia,"Surfers Point, Prevelly",surfing,Rob Bruce,M,60.0,"no injury, knocked off board by shark",False,Unknown,Unknown,"B.Myatt, GSAF",2018.04.25.a-Bruce.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.25.a-Bruce.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.25.a-Bruce.pdf,2018.04.25.a,2018.04.25.a,6282.0,unknown,unknown
22,2018.04.24,24-Apr-2018,2018,Unprovoked,australia,Western Australia,"South Point, Gracetown",surfing,Nathan Burch,M,25.0,"no injury, shark struck his leg",False,Unknown,Unknown,"B. Myatt, GSAF",2018.04.24-Burch.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.24-Burch.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.24-Burch.pdf,2018.04.24,2018.04.24,6281.0,unknown,unknown
23,2018.04.23,23-Apr-2018,2018,Unprovoked,maldives,Alifu Alifu Atoll,Madoogali,fishing,Ahmed Rasheed,M,32.0,5-inch cut to hand,False,Unknown,Tiger shark,"K. McMurray, TrackingSharks.com",2018.04.23-Maldives.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.23-Maldives.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.23-Maldives.pdf,2018.04.23,2018.04.23,6280.0,unknown,unknown
24,2018.04.22,22-Apr-2018,2018,Unprovoked,south africa,Western Cape Province,"Robberg Beach, Plettenberg Bay",paddle-skiing,male,M,33.0,"no injury, shark bit hole in ski",False,Unknown,Unknown,"Africa News Agency, 4/22/2018",2018.04.22-PlettenbergBay.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.22-PlettenbergBay.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.22-PlettenbergBay.pdf,2018.04.22,2018.04.22,6279.0,unknown,unknown
25,2018.04.19,19-Apr-2018,2018,Unprovoked,usa,Hawaii,"Shipwrecks Beach, Keoneloa Bay, Kauai",body boarding,Dylan McWilliams,M,29.0,lacerations to right lower leg,False,Unknown,Unknown,"The Garden Island, 4/19/2018",2018.04.19-McWilliams.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.19-McWilliams.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.19-McWilliams.pdf,2018.04.19,2018.04.19,6278.0,unknown,unknown
26,2018.04.15.d,15-Apr-2018,2018,Unprovoked,thailand,Hua Hin,Sai Noi Beach,swimming,Werner Danielsen,M,54.0,lacerations to foot and ankle,False,Unknown,Juvenile bull shark,"Straits Times, 4/16/2018",2018.04.15.d-Thailand.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.15.d-Thailand.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.15.d-Thailand.pdf,2018.04.15.d,2018.04.15.d,6277.0,unknown,unknown
27,2018.04.15.c,15-Apr-2018,2018,Unprovoked,brazil,Pernambuco,Piedade,swimming,Pablo de Melo,M,34.0,"multiple severe injuries to arms and leg, leg subsequently surgically amputated",False,Unknown,Unknown,"Globo, 4/16/2018",2018.04.15.c-deMelo.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.15.c-deMelo.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.15.c-deMelo.pdf,2018.04.15.c,2018.04.15.c,6276.0,unknown,unknown
28,2018.04.15.b,15-Apr-2018,2018,Unprovoked,australia,Western Australia,"Lefthanders, Margaret River Area",surfing,Jason Longrass,M,41.0,laceration to right thigh,False,Unknown,Unknown,"B.Myatt, GSAF",2018.04.15.b-Longrass.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.15.b-Longrass.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.15.b-Longrass.pdf,2018.04.15.b,2018.04.15.b,6275.0,unknown,unknown
29,2018.04.15.a,15-Apr-2018,2018,Unprovoked,australia,Western Australia,"Cobblestones, Margaret River Area",surfing,Alejandro Travaglini,M,37.0,lacerations to legs,False,Unknown,Unknown,"B.Myatt, GSAF",2018.04.15.a-Travaglini.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.15.a-Travaglini.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.15.a-Travaglini.pdf,2018.04.15.a,2018.04.15.a,6274.0,unknown,unknown
30,2018.04.14,14-Apr-2018,2018,Unprovoked,bahamas,New Providence,Nirvana Beach,surfing,Bruce Rowan,M,25.0,no injury. shark swam away with the surf board,False,Unknown,Tiger shark,"Tribune242,",2018.04.14-Rowan.pff,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.14-Rowan.pff,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.14-Rowan.pff,2018.04.14,2018.04.14,6273.0,unknown,unknown
31,2018.04.10.R,Reported 10-Apr-2018,2018,Invalid,brazil,Alagoas,"Praia de Sauaçuhy, Maceió",fishing,Josias Paz,M,56.0,injury to ankle from marine animal trapped in weir provoked incident. ,False,Unknown,Shark involvement not confirmed,"K. McMurray, TrackingSharks.com",2018.04.10.R-Paz.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.10.R-Paz.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.10.R-Paz.pdf,2018.04.10.R,2018.04.10.R,6272.0,unknown,unknown
32,2018.04.09,09-Apr-2018,2018,Unprovoked,new caledonia,new caledonia,"Magenta Beach, Noumea",windsurfing,John Doe,M,25.0,"no injury, shark bit board",False,Unknown,Unknown,"Les Nouvelles Caledoniennes, 4/10/2018",2018.04.09-Magenta.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.09-Magenta.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.09-Magenta.pdf,2018.04.09,2018.04.09,6271.0,unknown,unknown
33,2018.04.05,05-Apr-2018,2018,Unprovoked,bahamas,bahamas,Bimini,swimming,Shane McConnell,M,12.0,"2 puncture wounds to left foot, abrasion to right foot",False,Unknown,Bull shark,"K. McMurray, TrackingSharks.com",2018.04.05-McConnell.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.05-McConnell.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.05-McConnell.pdf,2018.04.05,2018.04.05,6270.0,unknown,unknown
34,2018.04.03,03-Apr-2018,2018,Unprovoked,south africa,Eastern Cape Province,St. Francis Bay,surfing,Ross Spowart,M,19.0,lacerations to left knee & lower leg,False,Unknown,White shark,"K. McMurray, TrackingSharks.com",2018.04.03-StFrancisBay.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.03-StFrancisBay.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.03-StFrancisBay.pdf,2018.04.02,2018.04.03,6269.0,unknown,unknown
35,2018.03.31,31-Mar-2018,2018,Unprovoked,usa,Hawaii,Kukio Beach,stand-up paddleboarding,male,M,25.0,injuries to right leg & hand,False,Unknown,Unknown,"Khon2, 3/31/2018",2018.03.31-Hawaii.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.03.31-Hawaii.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.03.31-Hawaii.pdf,2018.03.31,2018.03.31,6268.0,unknown,unknown
36,2018.03.14,14-Mar-2018,2018,Unprovoked,australia,Western Australia,Waterman's Bay,wading,Luke Guy & Finn Bald,M,10.0,minor injuries to legs,False,Unknown,Wobbegong shark,"B. Myatt, GSAF",2018.03.14-WatermansBay.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.03.14-WatermansBay.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.03.14-WatermansBay.pdf,2018.03.14,2018.03.14,6267.0,unknown,unknown
37,2018.03.09.b,9-Mar-2018,2018,Unprovoked,australia,Victoria,Lorne,swimming,Rob Crossland,M,69.0,"no injury, said to have been charged by sharks several times",False,Unknown,Unknown,"B. Myatt, GSAF",2018.03.09.b-Crossland.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.03.09.b-Crossland.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.03.09.b-Crossland.pdf,2018.03.09.b,2018.03.09.b,6266.0,unknown,unknown
38,2018.03.09.a,9-Mar-2018,2018,Unprovoked,australia,Victoria,Winkipop,surfing,Lachie Brown,M,18.0,"minor injury, ankle grazed",False,Unknown,Unknown,"B. Myatt, GSAF",2018.03.09.a-Weight.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.03.09.a-Weight.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.03.09.a-Weight.pdf,2018.03.09.a,2018.03.09.a,6265.0,unknown,unknown
39,2018.02.24,24-Feb-2018,2018,Unprovoked,south africa,KwaZulu-Natal,Durban,scuba diving,Elton Polly,M,38.0, the shark & man simply collided; neither were injured,False,Unknown,Blacktip shark,"International Business Times, 3/1/2018",2018.02.24-Polly.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.02.24-Polly.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.02.24-Polly.pdf,2018.02.24,2018.02.24,6264.0,unknown,unknown
40,2018.02.23,23-Feb-2018,2018,Unprovoked,australia,New South Wales,"Little Congwong Beach, La Perouse ",swimming,Anna Shurapey ,F,55.0,laceratons to right leg & foot,False,Unknown,Unknown,"B. Myatt, GSAF",2018.02.23-Shurapey.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.02.23-Shurapey.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.02.23-Shurapey.pdf,2018.02.23,2018.02.23,6263.0,unknown,unknown
41,2018.02.17,18-Feb-2018,2018,Provoked,australia,Victoria,Westernport Bay,kayak fishing for sharks,Brett Palmer,M,34.0,"shark rammed kayak, no injury to occupant  provoked incident",False,Unknown,Unknown,"B. Myatt, GSAF",2018.02.17-Palmer.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.02.17-Palmer.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.02.17-Palmer.pdf,2018.02.17,2018.02.17,6262.0,unknown,unknown
42,2018.02.15,15-Feb-2018,2018,Unprovoked,australia,New South Wales,"Surf Beach, Kiama",walking,Adam Hoare,M,35.0,puncture wounds to leff foot & lower leg,False,Unknown,Unknown,"B. Myatt, GSAF",2018.02.15-Hoare.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.02.15-Hoare.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.02.15-Hoare.pdf,2018.02.15,2018.02.15,6261.0,unknown,unknown
43,2018.02.14,14-Feb-2018,2018,Invalid,australia,Queensland,Mooloolaba Beach,swimming,Sharna Babd,F,25.0,"collision / no injury, no attack",False,Unknown,Possibly a wobbegong,"Sunshine Coast Daily, 2/15/2018",2018.02.14-Babd.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.02.14-Babd.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.02.14-Babd.pdf,2018.02.14,2018.02.14,6260.0,unknown,unknown
44,2018.02.11,11-Feb-2018,2018,Invalid,brazil,"Boi Island, Victoria",Espirito Santo,cleaning fish,Rosalida Souza,F,46.0,lacerations to 4 toes of right foot,False,Unknown,"Injury believed caused by an eel, not a shark",TrackingSharks.com,2018.02.11-Rosilda.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.02.11-Rosilda.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.02.11-Rosilda.pdf,2018.02.11,2018.02.11,6259.0,unknown,unknown
45,2018.02.03,03-Feb-2018,2018,Unprovoked,ecuador,Galapagos Islands,Santa Fe Island,snorkeling,Andrew Phipps Newman,M,45.0,injuries to right foot,False,Unknown,Galapagos shark?,"The Standard (UK), 2/6/2018",2018.02.03-Newman.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.02.03-Newman.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.02.03-Newman.pdf,2018.02.03,2018.02.03,6258.0,unknown,unknown
46,2018.02.01,01-Feb-2018,2018,Invalid,australia,Western Australia,"Avalon Point, Manurah",spearfishing,Lucas Martin,M,14.0,"no injury no attack. this is considerd an ""encounter""",False,Unknown,Unknown,"The West Australian, 2/2/2018",2018.02.01-Martin.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.02.01-Martin.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.02.01-Martin.pdf,2018.02.01,2018.02.01,6257.0,unknown,unknown
47,2018.01.28,28-Jan-2018,2018,Unprovoked,australia,Western Australia,Cone Bay,nan,male,M,18.0,injuries to right leg,False,Unknown,Bull shark,"ABC.net.au, 01/28/2018",2018.01.28-ConeBay.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.01.28-ConeBay.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.01.28-ConeBay.pdf,2018.01.28,2018.01.28,6256.0,unknown,unknown
48,2018.01.21,21-Jan-2018,2018,Unprovoked,new caledonia,new caledonia,Nouville,spearfishing,male,M,25.0,injuries to abdomen and arm,False,Unknown,Unknown,TrackingSharks.com,2018.01.21-NewCaledonia.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.01.21-NewCaledonia.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.01.21-NewCaledonia.pdf,2018.01.21,2018.01.21,6255.0,unknown,unknown
49,2018.01.14,14-Jan-2018,2018,Unprovoked,australia,Queensland,Lizard Island,diving,Mathew Vickers,M,25.0,severe laceration to left forearm,False,Unknown,Unknown,"B. Myatt, GSAF",2018.01.14-Vickers.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.01.14-Vickers.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.01.14-Vickers.pdf,2018.01.14,2018.01.14,6254.0,unknown,unknown
50,2018.01.13,13-Jan-2018,2018,Unprovoked,australia,New South Wales,Martin Islet,free diving,Callum Stewart,M,28.0,"no injury, shark took his swimfin",False,Unknown,Unknown,"B. Myatt, GSAF",2018.01.13-Stewart.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.01.13-Stewart.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/http://sharkattackfile.net/spreadsheets/pdf_directory/2018.01.13-Stewart.pdf,2018.01.13,2018.01.13,6253.0,unknown,unknown
51,2018.01.12,12-Jan-2018,2018,Unprovoked,brazil,Fernando de Noronha,Conceicao Beach,surfing,Ricardo Ferrari Bulhoes ,M,20.0,minor injury to left forearm,False,Unknown,small shark,TrackingSharks.com,2018.01.12-Bulhoes.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.01.12-Bulhoes.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.01.12-Bulhoes.pdf,2018.01.12,2018.01.12,6252.0,unknown,unknown
52,2018.01.05,05-Jan-2018,2018,Unprovoked,australia,Western Australia,"South Point, Gracetown",surfing,Justin ,M,25.0,foot bitten,False,Unknown,Wobbegong shark?,"Perth Now, 1/6/2018",2018.01.05-Justin.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.01.05-Justin.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.01.05-Justin.pdf,2018.01.05,2018.01.05,6251.0,unknown,unknown
53,2017.12.31,31-Dec-2017,2017,Unprovoked,usa,Hawaii,"Hultin's Beach, Oahu",surfing,Marjorie Mariano,F,54.0,severe lacerations to left thigh & knee,False,Unknown,Tiger shark,"J. Howard, Surfling Now, 1/2/2018",2017.12.31-Mariano.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.12.31-Mariano.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.12.31-Mariano.pdf,2017.12.31,2017.12.31,6250.0,unknown,unknown
54,2017.12.30,30-Dec-2017,2017,Unprovoked,usa,California,"Drakes Estero, Point Reyes, Marin County",surfing,Natalie Jones,F,35.0,foot bitten,False,Unknown,Unknown,R. Collier,2017.12.30.Jones.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.12.30.Jones.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.12.30.Jones.pdf,2017.12.30,2017.12.30,6249.0,unknown,unknown
55,2017.12.21,21-Dec-2017,2017,Provoked,malaysia,Sepang,Bagan Lalang Beach,fishing / wading,Sairol  Harun,M,24.0,"minor injury to thigh, provoked incident",False,Unknown,Juvenile nurse shark,TrackingSharks.com,2017.12.21-Harun.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.12.21-Harun.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.12.21-Harun.pdf,2017.12.21,2017.12.21,6248.0,unknown,unknown
56,2017.12.09,09-Dec-2017,2017,Unprovoked,bahamas,bahamas,Unknown,snorkeling,Sarah Illig-Carroll,F,25.0,minor injury to arm,False,Unknown,Unknown,"Daily Star, 12/11/2017",2017.12.09-Carroll.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.12.09-Carroll.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2017.12.09-Carroll.pdf,2017.12.09,2017.12.09,6247.0,unknown,unknown
